id,player1_id,player2_id,status,contest_id,problem_index,winner_user_id,created_at,finished_at,updated_at
d1111111-1111-4111-8111-111111111111,11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222,pending,1999,A,,2026-03-15T08:00:00Z,,2026-03-15T08:00:00Z
d2222222-2222-4222-8222-222222222222,33333333-3333-3333-3333-333333333333,44444444-4444-4444-4444-444444444444,declined,2001,B,,2026-03-14T10:30:00Z,,2026-03-14T10:45:00Z
d3333333-3333-4333-8333-333333333333,55555555-5555-5555-5555-555555555555,66666666-6666-6666-6666-666666666666,in_progress,1988,C,,2026-03-15T07:20:00Z,,2026-03-15T07:35:00Z
d4444444-4444-4444-8444-444444444444,77777777-7777-7777-7777-777777777777,88888888-8888-8888-8888-888888888888,finished,2003,D,88888888-8888-8888-8888-888888888888,2026-03-13T16:00:00Z,2026-03-13T16:17:20Z,2026-03-13T16:17:20Z
d5555555-5555-4555-8555-555555555555,99999999-9999-9999-9999-999999999999,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,finished,2004,A,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-03-12T19:00:00Z,2026-03-12T19:09:43Z,2026-03-12T19:09:43Z
d6666666-6666-4666-8666-666666666666,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,cccccccc-cccc-cccc-cccc-cccccccccccc,canceled,1979,E,,2026-03-11T11:05:00Z,,2026-03-11T11:20:00Z
d7777777-7777-4777-8777-777777777777,22222222-2222-2222-2222-222222222222,77777777-7777-7777-7777-777777777777,finished,2010,F,22222222-2222-2222-2222-222222222222,2026-03-10T09:00:00Z,2026-03-10T09:28:11Z,2026-03-10T09:28:11Z
d8888888-8888-4888-8888-888888888888,44444444-4444-4444-4444-444444444444,99999999-9999-9999-9999-999999999999,pending,2011,B,,2026-03-15T09:10:00Z,,2026-03-15T09:10:00Z
d9999999-9999-4999-8999-999999999999,66666666-6666-6666-6666-666666666666,11111111-1111-1111-1111-111111111111,finished,2007,C,66666666-6666-6666-6666-666666666666,2026-03-09T14:10:00Z,2026-03-09T14:21:00Z,2026-03-09T14:21:00Z
deeeeeee-eeee-4eee-8eee-eeeeeeeeeeee,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,33333333-3333-3333-3333-333333333333,in_progress,2012,D,,2026-03-15T06:50:00Z,,2026-03-15T07:05:00Z
